tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,47.68980
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,52.36171
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,51.92828
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,50.23335
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,49.72226
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,48.23450
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,36.78486
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,33.57759
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,29.13930
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,25.24274
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,21.98600
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,17.99265
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,46.67659
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,50.97145
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,51.33192
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,50.16099
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,49.60588
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,48.15798
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,36.53265
1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",0,33.42822
1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",0,29.27624
1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",0,25.26932
1,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",0,22.07517
1,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",0,18.37596
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,45.16324
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,49.25579
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,49.66804
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,48.67734
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,48.19284
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,46.98514
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,36.27455
1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",0,33.22081
1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",0,28.48589
1,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",0,24.47625
1,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",0,21.57460
1,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",0,17.87124
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,45.97264
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,50.06040
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,50.28962
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,49.32017
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,48.49679
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,47.09437
1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",0,45.81522
1,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",0,42.82208
1,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",0,37.82153
1,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",0,34.33155
1,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",0,28.81999
1,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",0,23.96544
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,39.37022
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,43.56778
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,44.72498
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,44.25734
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,44.30109
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,43.52139
1,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",0,40.59578
1,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",0,37.21825
1,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",0,31.46393
1,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",0,27.51572
1,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",0,22.95261
1,"[2016-10-29 18:40:00,2016-10-29 19:00:00)",0,18.97355
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,57.57182
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,61.66023
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,61.62284
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,60.21959
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,59.41912
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,57.89335
1,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",0,91.70856
1,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",0,84.47761
1,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",0,75.14562
1,"[2016-10-30 18:00:00,2016-10-30 18:20:00)",0,65.05770
1,"[2016-10-30 18:20:00,2016-10-30 18:40:00)",0,54.44658
1,"[2016-10-30 18:40:00,2016-10-30 19:00:00)",0,44.40665
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,119.97022
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,122.31250
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,118.64239
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,113.86913
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,109.78796
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,104.95204
1,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",0,57.95745
1,"[2016-10-31 17:20:00,2016-10-31 17:40:00)",0,54.58308
1,"[2016-10-31 17:40:00,2016-10-31 18:00:00)",0,50.78049
1,"[2016-10-31 18:00:00,2016-10-31 18:20:00)",0,44.85714
1,"[2016-10-31 18:20:00,2016-10-31 18:40:00)",0,38.01061
1,"[2016-10-31 18:40:00,2016-10-31 19:00:00)",0,32.27613
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,120.12794
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,123.26526
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,124.65278
