tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,48.48316
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,50.26563
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,50.31321
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,49.77097
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,48.61310
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,47.70766
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,43.63483
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,37.99345
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,32.55073
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,27.55437
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,25.05598
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,21.96466
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,48.45375
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,50.38474
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,50.50241
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,49.31602
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,47.93428
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,47.30202
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,41.63312
1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",0,36.91303
1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",0,32.39235
1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",0,26.85439
1,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",0,24.67596
1,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",0,22.47518
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,43.61625
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,46.33809
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,46.83373
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,45.77824
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,45.04492
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,45.57531
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,40.89053
1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",0,36.84086
1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",0,32.94210
1,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",0,26.62802
1,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",0,24.74911
1,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",0,23.67266
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,49.97373
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,53.47993
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,53.01752
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,53.03244
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,53.17703
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,53.66172
1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",0,52.37825
1,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",0,48.56909
1,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",0,43.55287
1,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",0,34.71700
1,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",0,32.57757
1,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",0,31.87977
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,41.67182
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,46.99497
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,48.71678
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,51.67973
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,52.28037
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,52.76133
1,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",0,45.87685
1,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",0,41.22103
1,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",0,34.72470
1,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",0,28.51881
1,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",0,25.57587
1,"[2016-10-29 18:40:00,2016-10-29 19:00:00)",0,25.04796
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,65.53267
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,74.13233
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,78.18851
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,83.72186
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,87.29800
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,90.54802
1,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",0,102.06956
1,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",0,103.04702
1,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",0,100.50110
1,"[2016-10-30 18:00:00,2016-10-30 18:20:00)",0,90.28938
1,"[2016-10-30 18:20:00,2016-10-30 18:40:00)",0,89.20936
1,"[2016-10-30 18:40:00,2016-10-30 19:00:00)",0,91.94150
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,120.68275
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,122.33318
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,120.81982
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,119.37492
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,115.84082
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,112.14124
1,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",0,72.13583
1,"[2016-10-31 17:20:00,2016-10-31 17:40:00)",0,69.19692
1,"[2016-10-31 17:40:00,2016-10-31 18:00:00)",0,65.15645
1,"[2016-10-31 18:00:00,2016-10-31 18:20:00)",0,60.06890
1,"[2016-10-31 18:20:00,2016-10-31 18:40:00)",0,58.26750
1,"[2016-10-31 18:40:00,2016-10-31 19:00:00)",0,58.88998
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,116.53423
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,121.39326
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,123.75366
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,119.02825
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",1,116.01786
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",1,105.43103
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",1,99.51981
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",1,108.58810
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",1,109.41344
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",1,76.51077
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",1,80.51515
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",1,68.65932
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,110.32120
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,115.18692
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",1,117.38736
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",1,113.21967
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",1,110.90239
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",1,101.80629
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",1,96.52740
1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",1,106.80019
1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",1,107.80476
1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",1,74.58951
1,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",1,79.06664
1,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",1,69.14194
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,105.57489
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,110.44127
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",1,113.40364
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",1,109.29175
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",1,107.98569
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",1,100.83316
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",1,95.94173
1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",1,106.49938
1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",1,109.94858
1,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",1,73.66433
1,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",1,77.88468
1,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",1,70.58654
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,111.74325
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,117.48968
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",1,119.86467
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",1,117.02647
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",1,117.25053
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",1,110.60598
1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",1,107.17443
1,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",1,119.36180
1,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",1,123.06905
1,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",1,79.69681
1,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",1,84.95517
1,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",1,76.89081
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,80.27629
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,88.75656
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",1,92.68977
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",1,94.41245
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",1,96.52945
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",1,96.84504
1,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",1,85.04320
1,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",1,92.39019
1,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",1,93.89732
1,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",1,60.61372
1,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",1,61.84919
1,"[2016-10-29 18:40:00,2016-10-29 19:00:00)",1,55.66835
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,83.79723
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,92.88597
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",1,96.93786
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",1,103.06901
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",1,105.51959
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",1,106.59380
1,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",1,93.19620
1,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",1,103.40177
1,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",1,96.18282
1,"[2016-10-30 18:00:00,2016-10-30 18:20:00)",1,51.20986
1,"[2016-10-30 18:20:00,2016-10-30 18:40:00)",1,55.20335
1,"[2016-10-30 18:40:00,2016-10-30 19:00:00)",1,50.06165
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,127.26934
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,130.09261
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",1,135.17172
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",1,129.17982
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",1,125.24703
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",1,116.04696
1,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",1,87.25204
1,"[2016-10-31 17:20:00,2016-10-31 17:40:00)",1,99.66756
1,"[2016-10-31 17:40:00,2016-10-31 18:00:00)",1,95.67163
1,"[2016-10-31 18:00:00,2016-10-31 18:20:00)",1,49.95976
1,"[2016-10-31 18:20:00,2016-10-31 18:40:00)",1,53.83981
1,"[2016-10-31 18:40:00,2016-10-31 19:00:00)",1,50.52453
2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,118.12925
2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,116.72396
2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,114.99061
2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,112.25061
2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,99.93018
2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,85.04130
2,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,79.67447
2,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,71.03816
2,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,66.23387
2,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,59.14584
2,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,54.09019
2,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,45.89474
2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,104.70763
2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,104.01112
2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,102.48969
2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,99.88835
2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,89.54589
2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,77.72478
2,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,77.56817
2,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",0,70.77163
2,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",0,66.75209
2,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",0,58.56992
2,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",0,54.08312
2,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",0,47.66843
2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,107.37688
2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,108.85181
2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,108.71424
2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,104.65867
2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,94.71321
2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,83.02982
2,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,75.39977
2,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",0,68.75217
2,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",0,65.56237
2,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",0,53.41267
2,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",0,48.98375
2,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",0,43.70452
2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,97.80397
2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,100.03246
2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,97.60233
