tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,47.406525
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,51.59149
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,50.39461
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,49.04376
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,49.382605
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,49.220305
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,37.49381
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,33.79764
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,27.835635
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,24.994695
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,22.07562
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,19.12757
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,46.402045
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,50.600185
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,49.32129
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,49.62008
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,49.025855
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,48.724825
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,37.35603
1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",0,34.558275
1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",0,28.14405
1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",0,24.295725
1,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",0,21.249775
1,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",0,19.23648
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,43.94579
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,48.079075
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,47.983025
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,46.594685
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,45.952865
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,45.558935
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,36.77621
1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",0,33.45951
1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",0,27.32044
1,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",0,23.62908
1,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",0,20.459165
