tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,47.337
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,48.533
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,49.525
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,49.998
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,50.508
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,48.433
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,40.568
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,38.699
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,31.285
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,29.671
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,27.633
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,22.785
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,45.337
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,48.506
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,45.749
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,47.41
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,48.444
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,49.49
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,40.901
1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",0,35.907
1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",0,31.409
1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",0,27.23
1,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",0,24.909
1,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",0,22.918
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,43.555
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,47.706
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,47.003
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,46.249
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,46.41
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,48.033
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,38.158
1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",0,35.634
1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",0,31.272
1,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",0,27.273
1,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",0,25.031
1,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",0,22.199
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,43.109
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,50.24
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,47.018
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,47.01
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,49.018
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,48.149
1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",0,51.73
1,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",0,46.463
1,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",0,45.065
1,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",0,35.249
1,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",0,34.836
1,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",0,30.788
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,38.216
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,45.665
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,46.071
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,46.108
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,47.518
