"date","hour","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation"
"2016-10-25","0","1010.6000","1015.6000","356.0000","3.4000","20.2000","86.0000","0.0000"
"2016-10-25","3","1011.1000","1016.1000","341.0000","2.8000","19.6000","79.0000","0.0000"
"2016-10-25","6","1010.2000","1015.2000","37.0000","4.3000","19.5000","78.0000","0.0000"
"2016-10-25","9","1011.3000","1016.3000","7.0000","3.8000","18.0000","81.0000","0.0000"
"2016-10-25","12","1012.2000","1017.3000","83.0000","1.5000","18.0000","81.0000","0.0000"
"2016-10-25","15","1012.1000","1017.2000","325.0000","1.9000","17.2000","92.0000","0.0000"
"2016-10-25","18","1011.9000","1017.0000","337.0000","2.8000","16.8000","97.0000","4.5000"
"2016-10-25","21","1010.7000","1015.8000","256.0000","1.1000","17.2000","97.0000","0.0000"
"2016-10-26","0","1011.3000","1016.4000","194.0000","2.0000","18.4000","95.0000","0.0000"
"2016-10-26","3","1010.1000","1015.1000","178.0000","1.7000","23.1000","78.0000","0.0000"
"2016-10-26","6","1007.7000","1012.7000","216.0000","2.1000","28.1000","67.0000","0.0000"
"2016-10-26","9","1010.2000","1015.2000","356.0000","5.6000","21.6000","81.0000","0.0000"
"2016-10-26","12","1013.4000","1018.5000","37.0000","2.2000","19.4000","93.0000","0.0000"
"2016-10-26","15","1013.8000","1018.8000","342.0000","2.2000","18.7000","96.0000","0.5000"
"2016-10-26","18","1013.3000","1018.3000","36.0000","2.2000","18.8000","97.0000","0.4000"
"2016-10-26","21","1014.2000","1019.3000","12.0000","2.9000","17.5000","97.0000","0.2000"
"2016-10-27","0","1015.2000","1020.3000","11.0000","0.7000","17.8000","97.0000","0.7000"
"2016-10-27","3","1013.7000","1018.8000","316.0000","1.0000","18.7000","97.0000","0.0000"
"2016-10-27","6","1010.8000","1015.8000","339.0000","1.8000","19.7000","93.0000","0.0000"
"2016-10-27","9","1010.4000","1015.4000","107.0000","0.5000","20.7000","90.0000","0.0000"
"2016-10-27","12","1010.9000","1015.9000","199.0000","1.3000","20.2000","95.0000","0.0000"
"2016-10-27","15","1010.3000","1015.3000","238.0000","1.9000","19.8000","95.0000","0.0000"
"2016-10-27","18","1009.8000","1014.8000","357.0000","2.5000","19.5000","97.0000","0.0000"
"2016-10-27","21","1011.5000","1016.5000","8.0000","5.0000","20.2000","90.0000","0.0000"
"2016-10-28","0","1014.7000","1019.8000","357.0000","4.1000","19.0000","81.0000","0.0000"
"2016-10-28","3","1016.0000","1021.1000","7.0000","6.8000","19.0000","78.0000","0.0000"
"2016-10-28","6","1016.6000","1021.7000","4.0000","6.0000","16.2000","91.0000","0.1000"
"2016-10-28","9","1018.8000","1023.9000","1.0000","5.9000","15.1000","86.0000","0.0000"
"2016-10-28","12","1020.8000","1025.9000","352.0000","3.1000","14.5000","92.0000","0.0000"
"2016-10-28","15","1022.0000","1027.1000","345.0000","4.7000","13.9000","95.0000","0.3000"
"2016-10-28","18","1021.1000","1026.3000","355.0000","3.4000","13.9000","95.0000","0.2000"
"2016-10-28","21","1022.2000","1027.4000","14.0000","3.9000","13.8000","96.0000","0.5000"
"2016-10-29","0","1024.5000","1029.7000","352.0000","4.6000","13.0000","85.0000","0.1000"
"2016-10-29","3","1025.5000","1030.7000","30.0000","3.6000","13.2000","90.0000","0.2000"
"2016-10-29","6","1024.0000","1029.2000","36.0000","3.2000","14.6000","71.0000","0.0000"
"2016-10-29","9","1024.6000","1029.8000","8.0000","3.4000","13.6000","76.0000","0.0000"
"2016-10-29","12","1026.2000","1031.4000","349.0000","2.3000","13.5000","78.0000","0.0000"
"2016-10-29","15","1026.4000","1031.6000","339.0000","1.6000","12.9000","84.0000","0.0000"
"2016-10-29","18","1025.1000","1030.3000","355.0000","2.3000","12.8000","84.0000","0.0000"
"2016-10-29","21","1024.9000","1030.1000","337.0000","1.5000","12.7000","87.0000","0.0000"
"2016-10-30","0","1025.9000","1031.1000","357.0000","1.6000","13.5000","84.0000","0.0000"
"2016-10-30","3","1024.4000","1029.6000","96.0000","2.4000","15.9000","69.0000","0.0000"
"2016-10-30","6","1021.3000","1026.5000","77.0000","1.4000","17.5000","66.0000","0.0000"
"2016-10-30","9","1020.5000","1025.7000","96.0000","2.1000","17.0000","66.0000","0.0000"
"2016-10-30","12","1021.2000","1026.4000","108.0000","1.5000","16.6000","71.0000","0.0000"
"2016-10-30","15","1020.6000","1025.8000","313.0000","1.3000","15.7000","78.0000","0.0000"
"2016-10-30","18","1019.3000","1024.4000","320.0000","1.7000","15.2000","85.0000","0.0000"
"2016-10-30","21","1020.6000","1025.8000","320.0000","1.9000","14.6000","91.0000","0.0000"
"2016-10-31","0","1021.8000","1027.0000","290.0000","1.2000","14.7000","91.0000","0.0000"
"2016-10-31","3","1021.3000","1026.5000","319.0000","2.2000","16.1000","86.0000","0.0000"
"2016-10-31","6","1020.4000","1025.6000","5.0000","2.8000","15.7000","88.0000","0.2000"
"2016-10-31","9","1022.1000","1027.3000","349.0000","2.3000","14.8000","89.0000","0.1000"
"2016-10-31","12","1024.2000","1029.4000","7.0000","2.8000","14.8000","84.0000","0.0000"
"2016-10-31","15","1025.0000","1030.2000","0.0000","4.5000","14.5000","83.0000","0.0000"
"2016-10-31","18","1024.7000","1029.9000","360.0000","4.1000","14.1000","85.0000","0.0000"
"2016-10-31","21","1025.7000","1030.9000","25.0000","3.6000","13.0000","91.0000","0.0000"
