tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,47.5549065
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,49.408905
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,49.9223285
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,49.8018075
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,49.4835755
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,48.0774075
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,41.749041
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,37.879831
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,31.482586
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,28.0076795
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,25.6888385
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,22.0047395
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,46.620196
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,49.4252405
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,48.173942
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,48.562768
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,48.3803825
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,48.537015
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,41.057708
1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",0,36.2188355
1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",0,31.5004175
1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",0,26.5562555
1,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",0,24.2050715
1,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",0,22.2433225
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,43.4362615
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,47.016561
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,47.01564
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,46.0448975
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,45.8512145
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,46.56452
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,39.182714
1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",0,35.9045055
1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",0,31.4160885
1,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",0,26.326255
1,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",0,24.1656395
1,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",0,22.1595855
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,46.221374
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,51.4296685
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,49.88604
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,49.8670525
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,50.971119
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,50.6497115
1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",0,51.985114
1,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",0,47.6348525
1,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",0,44.102147
1,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",0,35.015708
1,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",0,33.7463075
1,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",0,31.108202
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,39.324727
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,45.52398
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,46.87778
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,48.266517
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,49.2701895
