tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,48.00147
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,49.87053
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,50.17771
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,50.06186
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,49.96171
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,48.59798
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,41.85170
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,38.06462
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,31.70179
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,27.98944
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,25.71600
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,21.93040
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,46.95314
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,49.70575
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,48.45631
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,48.75017
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,48.64766
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,48.82579
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,41.04606
1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",0,36.40754
1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",0,31.74236
1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",0,27.02270
1,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",0,24.71856
1,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",0,22.64038
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,43.76969
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,47.30415
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,47.16973
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,46.28908
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,46.13430
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,47.05763
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,39.41641
1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",0,36.12974
1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",0,31.82684
1,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",0,26.84517
1,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",0,24.69267
1,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",0,22.79695
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,46.54696
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,51.78848
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,49.97201
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,49.88223
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,50.94006
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,50.70700
1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",0,51.83592
1,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",0,47.43215
1,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",0,44.08608
1,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",0,35.36729
1,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",0,33.75418
1,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",0,31.32394
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,39.60383
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,45.90566
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,46.89562
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,48.29855
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,49.28103
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,48.48372
1,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",0,46.99705
1,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",0,41.50488
1,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",0,34.29280
1,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",0,29.62544
1,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",0,27.13486
1,"[2016-10-29 18:40:00,2016-10-29 19:00:00)",0,25.23681
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,68.01676
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,78.27376
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,83.66469
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,87.37528
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,93.83536
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,98.13441
1,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",0,101.22239
1,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",0,94.07091
1,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",0,86.66646
1,"[2016-10-30 18:00:00,2016-10-30 18:20:00)",0,76.80471
1,"[2016-10-30 18:20:00,2016-10-30 18:40:00)",0,72.40723
1,"[2016-10-30 18:40:00,2016-10-30 19:00:00)",0,68.52578
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,113.20634
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,115.90664
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,112.33736
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,108.48974
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,106.22208
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,102.56605
1,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",0,73.32345
1,"[2016-10-31 17:20:00,2016-10-31 17:40:00)",0,66.73057
