tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,47.12325
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,50.82127
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,48.86094
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,47.85417
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,49.04295
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,50.20611
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,38.20276
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,34.01769
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,26.53197
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,24.74665
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,22.16524
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,20.26249
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,46.12750
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,50.22892
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,47.31066
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,49.07917
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,48.44583
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,49.29167
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,38.17941
1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",0,35.68833
1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",0,27.01186
1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",0,23.32213
1,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",0,20.42438
1,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",0,20.09700
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,42.72834
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,46.90236
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,46.29801
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,44.51203
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,43.71289
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,44.13273
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,37.27787
1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",0,33.69821
1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",0,26.15499
