"intersection_id","tollgate_id","vehicle_id","starting_time","travel_seq","travel_time"
"B","3","1032458","2016-10-18 00:02:32","105#2016-10-18 00:02:32#8.51;100#2016-10-18 00:02:40#5.55;111#2016-10-18 00:02:46#13.88;103#2016-10-18 00:02:59#1.93;122#2016-10-18 00:03:03#16.55","47.55"
"C","1","1008361","2016-10-18 00:06:19","115#2016-10-18 00:06:19#8.45;102#2016-10-18 00:06:27#8.22;109#2016-10-18 00:06:36#7.47;104#2016-10-18 00:06:43#18.44;112#2016-10-18 00:07:01#12.78;111#2016-10-18 00:07:14#7.86;103#2016-10-18 00:07:22#1.41;116#2016-10-18 00:07:24#10.80;101#2016-10-18 00:07:35#6.14;121#2016-10-18 00:07:41#43.70;106#2016-10-18 00:08:24#1.83;113#2016-10-18 00:08:26#17.57","144.57"
"B","3","1030608","2016-10-18 00:07:11","105#2016-10-18 00:07:11#6.00;100#2016-10-18 00:07:17#4.30;111#2016-10-18 00:07:21#11.11;103#2016-10-18 00:07:32#2.73;122#2016-10-18 00:07:37#55.84","81.84"
"A","2","1045369","2016-10-18 00:14:07","110#2016-10-18 00:14:07#8.74;123#2016-10-18 00:14:16#4.34;107#2016-10-18 00:14:20#2.43;108#2016-10-18 00:14:23#2.97;120#2016-10-18 00:14:26#0.65;117#2016-10-18 00:14:26#13.69","32.69"
"A","3","1028919","2016-10-18 00:14:21","110#2016-10-18 00:14:21#7.84;123#2016-10-18 00:14:28#3.52;107#2016-10-18 00:14:32#2.15;108#2016-10-18 00:14:34#3.03;119#2016-10-18 00:14:37#0.68;114#2016-10-18 00:14:38#14.95;118#2016-10-18 00:14:53#18.13;122#2016-10-18 00:15:11#26.52","76.52"
"A","3","1032377","2016-10-18 00:16:09","110#2016-10-18 00:16:09#8.25;123#2016-10-18 00:16:18#3.37;107#2016-10-18 00:16:21#1.75;108#2016-10-18 00:16:23#2.07;119#2016-10-18 00:16:25#0.48;114#2016-10-18 00:16:25#10.42;118#2016-10-18 00:16:36#14.79;122#2016-10-18 00:16:50#20.85","61.85"
"A","2","1012058","2016-10-18 00:19:10","110#2016-10-18 00:19:10#127.12;123#2016-10-18 00:21:17#1.76;107#2016-10-18 00:21:18#1.01;108#2016-10-18 00:21:19#1.19;120#2016-10-18 00:21:21#0.18;117#2016-10-18 00:21:21#4.06","135.06"
"A","2","1032515","2016-10-18 00:19:20","110#2016-10-18 00:19:20#11.13;123#2016-10-18 00:19:31#4.35;107#2016-10-18 00:19:35#8.28;108#2016-10-18 00:19:43#3.92;120#2016-10-18 00:19:47#13.18;117#2016-10-18 00:20:00#54.24","94.24000000000001"
"A","3","1011667","2016-10-18 00:22:12","110#2016-10-18 00:22:12#18.11;123#2016-10-18 00:22:31#5.36;107#2016-10-18 00:22:36#4.01;108#2016-10-18 00:22:40#7.10;119#2016-10-18 00:22:47#2.14;114#2016-10-18 00:22:49#34.05;118#2016-10-18 00:23:23#20.21;122#2016-10-18 00:23:43#35.63","126.63"
"A","2","1020884","2016-10-18 00:30:19","110#2016-10-18 00:30:19#8.58;123#2016-10-18 00:30:28#4.65;107#2016-10-18 00:30:32#2.68;108#2016-10-18 00:30:35#3.59;120#2016-10-18 00:30:39#0.80;117#2016-10-18 00:30:39#18.13","38.129999999999995"
